Characteristics,Score
"spice, toffee, fruit, papaya, lavender, black currant, ripe banana, fruit apple, prosecco, pineapple, sandalwood, caramel, toffee, honey, green grape, purple grape, strawberry, tangerine, mandarin, stable, structured, lemon juice , long finish, silky, deeply sweet, lush body, cranberry, lactic",89.88
"plum, sweet herbs, mulberry, marzipan, strawberry, ripe fruits, peach, honey, candied citrus, cinnamon, malic, citric, red apple , tea-like, pristine finish transparent",89.88
"Cinnamon, passion fruit, vanilla, roasted almonds, tobacco, caramel, cedar, red wine, burgundy wine, Citric, tartaric, bright , Velvety, well balanced, sugarcane, mouthwatering, structured, creamy",89.88
"Concord grape, dark fruit, black currant, peach, white peach, milk chocolate, sugared almonds, balanced jasmine, apricot, lime, kiwi, strawberries., Tartaric- complex subtlety, citric, green apple. , Textured, elegant mouthfeel, clean, good from beginning to end, white tea.",89.87
"jasmine, grape, cherry, green apples, lemon, grapefruit, raw sugar cane Mixed complex fruit, structured, well rounded, bright , Delicate body, Clean finish, refreshing, Lingering aftertaste, Creamy rich mouthfeel",89.86
"floral, fragrant, sweet, citric fruits, lemon, orange, vanilla, mint, bright, citric, grapes, lemon, lively, tangerine, tartaric, complex , lingering aftertaste, very sweet, juicy",89.86
"Cranberry, ginger, clove, honeycomb, apricot, plum, starfruits, clove, malty, peach, strawberry red berries, blueberry, peach violet, guava, peach, blueberry persistent, long, refined, citric acidity, tartaric, Complex, sharp lemon grass, citric , Honeysuckle, sweet lemon full, satisfying from beginning to end",89.86
"Blueberry, hibiscus, mejdool dates, molasses, toffee,, structured, juicy, layered , Creamy, long buttery finish, silky",89.86
"peach, white choc, vanilla, hibiscus, molasses, rum raisin, hazelnut, cinnamon, apple, pomegranate, deep dark fruit, peach, black cherry, blood orange, papaya,, tartaric, white grape,  , syrupy, polarizing, controversial, ",89.85
"long caramel, mango, apple, green grape, vanilla, strawberry, melon cherry, floral, sweet orange, watermelon, black tea, gumdrops, blueberry, sparkling, crisp, malic, tartaric, light citrus, sweet, lemon citric finish , creamy, lasting, clean, long aftertaste, transparent, delicate, juicy, smooth improved as it cooled",89.83
"honey, peach, rose, lime, dark chocolate, walnut, black tea, caramel, fig, plum, blackberry, cinnamon, savory, cedar, vine tomato, lime, orange, red grape, crisp, clear, effervescent, complex , floral, lavender in finish, creamy, elegant, rounded",89.83
"Jasmine, orange blossom, papaya, strawberry, cinnamon, stone fruit, passion fruit, peach, mango, blueberry, melon, Lactic, tartaric, malic , Elegant, super sweet, well balanced, fruit basket",89.82
"Grapefruit jasmine, floral, caramel, cinnamon, molasses, raspbery chocolate, cacao, tropicial fruit, melon, grapes, Bright sparkling very rich, sweet , Uplifting aromatics",89.82
"Chocolate, , sugar, caramel, citric , cherry, apricot, vanilla, sweet citric, sophisticated coffee, citric, complex , very good body and well balanced, very stable, clean cup",89.81
"vanilla, honey, jasmine, berry, caramel, citrus, orange, ripe fruits, sweet wine, chocolate, cedar brown sugar, sweet berries, sugary, bright, juicy, citric, apple, crisp, balanced , good structure, well rounded, complex, creamy, buttery, long finish, clear clean, transparent, classic coffee",89.8
"Strawberry, chocolate, mango, red wine, berries, apricot, dark chocolate, honey, peach, brown spice, caramel, cherry, Grapes, complex, lactic, citric, fruit, lively , Juicy, long lasting, creamy, syrupy, clean, juicy, sweet, dense",89.8
"red fruit, chocolate, red wine, berries, floral, clover, caramel, orange blossom, cedar, maple syrup bergamot, molasses, honey, crisp, mango, passion fruit, cranberry, sweet, tart, juicy creamy, complex, multi-dimensional, tropical fruits , silky, buttery body, creamy finish, multi-dimensional, balanced",89.8
"honey, jasmine, citrus, fruit, tangerine, vanilla, chocolate, apple, stone fruit, plum, floral, fruity, apricot, very sweet, grape, apple, citric, winey, tangy , creamy, smooth, round, long finish, sweet finish, harmonious, clear, clean pure",89.8
"Cherry, red berries, red currants, apples, honey, hibiscus, orange blossom, pineapple, sugar cane, butterscotch, Complex, bright, zesty , Structured, very very sweet, intense",89.8
"cherry, hibiscus, passion fruit, honey, sangria wine, cider, Champaign, milk chocolate, dry apricot, spice, sugar cane, mango, floral, multidimensional, structure, complex, clear, elegant, crisp, and transparent , well structured.Body: round, silky, juicy",89.8
"Apple, orange, mandarin, vanilla, lemon grass, praline, white wine, white grape, Citric, tartaric, malic , Silky, juicy, smooth, transparent",89.8
"Vanilla, chocolate, cherry, tropical fruits, apple, lavendar, citrus, cola, caramel, Malic, structured, round , Balanced, harmonious, rounded",89.79
"Candy, plum, mango, Bright, fruit , Harmonious, syrupy",89.78
"Floral, peach, blackberry, vanilla, jasmine, Meyer lemon, strawberry, rose tea, apricot, raisin, nashy, clean, mandarin, peach, effervescent, honey, coconut, toffee., Lime, sparkling, bright, tartaric, complex, elegant. , Deep body, balanced, very, very sweet!!, aromatic, mint, anise, lemon verbana, elegant, fine.",89.77
"walnut, date, toasted coconut, cane sugar sweetness, plum, peach, cherry, raspberry, bright, lively, juicy, clean , toffee, apricot, round and smooth, crisp aftertaste, silky mouthfeel",89.76
"Strawberry, peach, honey, cinnamon, melon, floral, pineapple, mango, intense orange aroma, aged rum, peach yogurt, Lactic , Whipped cream, Syrupy, heavy",89.76
"honey, floral, caramel, apricot, strawberry jam, raspberries, lavender, almond, vanilla, malic, bright, lime, plum, Muscat , syrupy mouth feel, transparent, clean, round",89.76
"cinnamon, red apple, caramel, cherry, , spicy black cherry, apricot, vanilla ice cream, sugar cane, brown sugar, molasses, honey, butter, complex, malic, tartaric, citric, acetic , full body, silky, long finish, long brown spice finish",89.76
"Red apple, caramel, orange, fruits, cinnamon, spices, citrus, cherries, passion fruit, concord grapes, apricot, cane juice., Citric, bright, mandarin, malic, lemon. , Juicy, transparent, silky mouthfeel, honey, really sweet, balanced, sweet with acidity apricot mouthfeel, viscous.",89.75
"Honey, citric, lemon, papaya, melon, caramel, cane sugar, very sweet apple, mandarin orange, melon, Orange, green apple, sparkling , Syrupy delicate, peaches, creamy, juicy, sugar cane, consistent, juicy, sweet, transparent",89.75
"caramel, * molasses, walnut, almonds, lavender, berry, raspberry* brisk, lively, well balanced fruit acid , fruity medium length finish, heavy soft mouthfeel, lingering, very consistent",89.75
"passion fruit, orange, allspice, mandarin caramel, cherry, honey, sweet tea, dry white wine candy fruit, bright crisp vibrant, raspberry effervescent, champagne pop rocks , sticky mouth feel, long anise, sweet finish well balanced, nougat-like",89.73
"honey, coffee blossom, brown sugar, apricot, hibiscus, toffee, pear, blueberry, tartaric, citric, green grapes, transparent, subtle lemons and limes , silky, creamy, round, balanced, complete, red wine",89.73
"citrus, honey, jasmine, chocolate, fruity, vanilla, very sweet, apple, berries, caramel, peach, sugary, tart, apple, citric, fruity, grape, bright crisp , transparent, clear, round, smooth, long finish harmonious well structured",89.73
"Chocolate, tobacco, sugar cane, orange, pineapple, passion fruit, honey, molasses., Lemon, citric crisp. , Silky, smooth, clear, blackberry, currant.",89.73
"Red Apple, Honey and elderflower, brown sugar, cacao nib, rose tea, cinnamon, Soft champagne like, malic, red apple, elegant, orange , Transparent and silky, consistent, smooth and refined",89.72
"green apple, berries, peach, orange, caramel, light red apple, almond skins, butter, winey, clean citric, lemon,tartaric , smooth, silky, creamy body, syrupy",89.72
"caramel, cinnamon, dark chocolate, floral, fruits, soft, nuts, citric, fruits, lively, soft , buttery, creamy, smooth, delicate, caramel, honey, sweet, well balanced",89.72
"Vanilla, tropical fruits, caramel, sweet grape, coffee cherry, fig, Bright and clear, citrus, citric , Black currant, fruity, juicy, silky and harmonious, well balanced",89.71
"Rum Raisin, Sweet Peaches, Jasmine, Melon, Dark Fruits, Blackcurrant, Creamy, Dried Fruits, Red Apple, Raspberry, Honey, Jasmine, Minty, Hibiscus, Floral, Tropical Fruits, Red Apple, Honey, Mandarin, Peach, Melon, Juicy, Tartaric, Malic, Complex Fruit, Citric, Complex, Complex, Bright Crisp , Intense, Mouthfeel Was Pleasant, Creamy Mouthfeel, Round Finish, Smooth, Lingering, Tea Like, Round Mouthfeel, Long Aftertaste",89.7
"raspberry, citric, caramel apple, star fruit, sweet grapefruit, orange blossom, mandarin, marmalade, cloves, peach apricot, crisp, firm, refined, bright , silky aftertaste, cognac honey, mineral finish, refreshing",89.7
"caramel, aguave, passionfruit, guava, kiwi, mango, almond, graham cracker,honeyscuckle,, malic, sparkling, balanced, delicate, expansive, lively , starfruit, long aromatic finish, honey finish, cane sugar sweetness, tamarind, clean, ripe fruit, fruit punch, guava jelly, salted caramel",89.7
"apples, peach, cherry, mango, green grape, sweet lime, green papaya, vanilla aroma, elegant, citric, sparkling , refreshing, juicy, peach, creamy, rich, jasmine aftertaste",89.7
"Tangerine, sugar cane, brown sugar, green grapes, red apple, black currant, coffee blossom,, Malic and citric and tartaric acidity , very transparent, bright, well balanced, intense",89.69
"Blueberry, Cream, Floral, Honey, Lemon, Lemon & Lime, Rose, Kiwi, Lime, Mango, Cherries, Caramel, Fanta Orange, Green Apple, Lychee, Floral, Orange, Lemon, Honey, Mango Floral Pineapple, Eucalyptus, Minty, Floral, Citric Acid, Fruity, Bright, Lime, Juicy, Crisp Acidity, Citric, Tartaric Bright Crisp , Citric, Complex, Syrupy , , Delicate, Clean, Crisp, Consistent, , Long Aftertaste Syrup, Clean And Transparent",89.69
"apricot, watermelon, green grape, black tea, apples, jasmine, pineapple, sugarcane, violet, lime, Bing cherries, vanilla, bergamot, transparent, tartaric, complex , refreshing, juicy and well balanced",89.69
"Almond, Brown sugar, Floral, Fruit, Honey, Nutty, Red wine, Berries, Black tea, Blackcurrant, Cherry, Chocolate, Cranberry, Grape fruit, Green apple, Jasmine, Lemon, Mandarine, Orange, Peach, Plum, Pulpy, Red wine, Soft, Strawberry, Vanilla, Watermelon., Bright, Citric, Complex, Fruit, Intense, Lemon, Lively, Malic, Soft, Tartaric. , Juicy, Lingering, Long-lasting, Well balanced, Clean, Complete, Creamy, Dense, Mouth-expanding, Tea Like, Well structured, Faded as it cools, Improved as it cools, Caramel, Dark chocolate, Honey, Juicy, Sweet.",89.69
"Floral, watermelon, strawberry, peach, black currant, sugar, rum raisin, raspberry, jack fruit, whiskey, red current. Smooth round silky., Lasting acidity. , Complex, complete, well balanced and long.",89.67
"Chocolate, caramel, mandarin, brown sugar, honey, orange, peach, red apple, honey, floral, grapefruit, lemon, mango, molasses, plum, vanilla, Citric, malic, complex, intense, bright , Juicy, clean, honey, sweet, well balanced, smooth, creamy, caramel",89.67
"Aromatic, Berries, Buttery, Dark chocolate, Fruit, Grape fruit, Hibiscus, Intense, Nutty, Orange, Peach, Almond, Apricot, Bergamot, Black tea, Brown sugar, Caramel, Chocolate, Dark chocolate, Fig, Floral, Grape, Grape fruit, Green apple, Green tea, Honey, Intense, Jasmine, Lemon, Lychee, Mango, Nougat, Orange, Peach, Plum, Raspberry, Red wine, Rose, Stone fruit, Sweet., Bright, Citric, Complex, Intense, Lively, Malic, Red apple, Refined, Tangy, Tartaric. , Juicy, Lingering, Long-lasting, Persistent, Smooth, Harmonious, Well balanced, Clean, Transparent, Buttery, Creamy, Dense, Mouth-expanding, Round, Sirupy, Smooth, Structured, Improved as it cools, Caramel, Chocolate, Dark chocolate, Honey, Sweet.",89.67
"AROMA: lemon zest, mace, jasmine, hazelnut, corn syrup, maple,FLAVOR: sour cherry, caramel, molasses, peach, butter, moderate grape citric , very consistent, sweet lingering finish",89.67
"chocolate, vanilla, cocoa in the finish, caramel, blackberry , brown sugar, lime, bright, complex well-structured , very good body and aftertaste",89.66
"honey, vanilla, cake batter, caramel, peach, cranberry, biscuit (cookies), lemon chiffon, jasmine, amber honey, earl gray tea, tangerine, bright structured refined, complex , juicy and sweet aftertaste.Body: creamy, round, silky, buttery, supple",89.65
"bubble gum, guava, strawberry, juicy red wine, tropical fruit, tropical, cherry, fruits, plum, jasmine, jammy, tartaric, complex, complete, articulate , candy, sweet, fruit tart finish,",89.65
"lemon, pineapple, melon, molasses, prune, cranberry, honey-lemon, very complex, citric, malic, lemon, layered, , palmelo, candied sweetness, spiced, clove, ripe berry,",89.64
"tropical fruit, caramel, cinnamon-raisin, pineapple, cotton candy, watermelon, pink grapefruit, lemon, mango, tamarindo, toasted nut, cashew, almond, citric, bright, crisp, lactic , fruit cake, soft acidity, full bodied, chocoalet, smooth, candied apple, pear and honey dew melon",89.63
"Caramel, chocolate, sugar cane, honey, molasses, Swiss chocolate, white grape, red apple, white peach, tea rose, jasmine, lilac, butter, Citric, mandarin, crisp, punchy , Very stable and consistent, complex, multi-dimensional, opened up as it cooled",89.63
"berries vanilla, milk chocolate, red apple, strawberries, blackberries cherries, lemon lime, green tea, spicy chocolate nectarine, pink grapefruit, tartaric* citric* delicate, transparent, juicy, lime , balanced, transparent, very clean, syrupy, smooth, structured",89.63
"AROMA: jasmine, honey, currants, pepper, spicy, candied lime FLAVOR: honey, physalis, fresh baked bread, plums, grapefruit, starfruit, peach iced tea, tartaric, orange, citric, transparent, clean , big creamy body, lingering, well balanced",89.63
"Hazelnut, lemon zest, mild chocolate, raisins, butterscotch, ginger, chocolate cream, vanilla, apple, wine-like, green apple, plum, cherry., Citric, oranges. , Crisp finish, sticky mouthfeel, transparent, dark jam preserves, sweet, consistent.",89.62
"Pineapple, apricot, black tea, kiwi, molasses, juicy, grapefruit, cherry, Belgium chocolate, pink tropical fruits, fresh green herbs, orange peel, black currant, lemongrass, Juicy, citric, sparkling, tartaric, structured , Harmonious, big, intense, elegant, improving",89.6
"cedar, apricot, tropical fruits, peach, grapes, honey, caramel, candied yams, mango, jasmine, currents, oolong tea note, winey, crisp, refined, balanced , creamy, long aftertaste, compact coffee, tightly knit, super sweet, complete, jammy aftertaste tamarind, floral aftertaste",89.6
"caramel, stonefruit, apricot, plum, honey vanilla, hibiscus floral blackberries, sweet juicy, raspberry peach, fig, malic, tartaric, phosphoric, citric, sparking red wine, white grapes, complex , rich, soft, creamy, mellow super clean, transparent",89.6
"apricot, panela, japanese cherry, red currant, orange, floral, macadamia, chocolatet, cassis, melon, almond, complexy, cantaloupe, sweet citric, sugarcane, caramel, butter, bright, complex, lively, vibrant, dynamic, citric , juicy, very sweet, transparent, elegant, velvety mouthfeel, improving, textured body, juicy, syrupy, popcorn, butter, well balanced, very clean",89.59
"sugar browning, strawberry, toasted bread, toffee, vanilla, black currant, raisins, passion fruit, floral, custard, plums, wine, hibiscus, lively, delicate , complex, well-structured, spicy, transparent, creamy/smooth body, long finish",89.58
"molasses, floral and spice, chamomile, rose, lemon, spicy, chai, lychee, raspberry, red currant, green tea, jasmine, lime, strawberry, sweet spice, , very complex, citric, sparkling, full mouth coating,  , rose, floral, chocolate milk, creamy, complex sugars, toffee, pear, cherry cola, bergamot,",89.58
"Honeysuckle, almond, jasmine, caramel popcorn, nectarine, melon, orange tea, grapefruit, peony, vanilla, Tartaric, bright , Structured, velvety, soft, refined, long and sweet, perfumed",89.58
"apricot, orange, almond, chocolate, caramel, honey, cherry, melon, blackcurrant, vanilla, lemon, bright, juicy, citrus, delicate , rounded, balanced, elegant, chocolate finish, sweet aftertaste, peach and clove in finish",89.58
"honey, melon, chocolate, browning caramel, praline, winy., citric, peach, yellow citric. , silky mouthfeel, elegant, melon, peach, well balanced, tropical fruits.",89.57
"AROMA: strawberry, peach, fresh cut chives, clove, ginger,FLAVOR: red grapes, plum, raisins, lime, mandarin, citric, plum-like, complex fruit acidity, lively , extra sweet, clean, long finish, balanced, caramel",89.57
"orange flower, jasmine, peach, dark fruits, roasted almonds and berries, honey and chocolate, vanilla,, crisp, tartaric, complex, lingering, peach, rounded body, , delicate coffee, integrated, blended, complete, candy sweetness, floral, unitarian,",89.56
"Cinnamon, strawberry, black cherry, stewed apple and vanilla, honey, nutmeg, jasmine, Lactic, acetic, malic, cinnamic , Super sweet, clove, full body, clean finish",89.56
"Caramel, black currant, cocoa, figs, sugar, mango, winy, honey, grape, marzipan sugar cane, floral, pomegranate., Juicy, citric, apple, multi-dimensional. , Transparent, clean, creamy, Milky Way candy bar, effervescent, well-structured, complex.",89.56
"macademia, bergamot, perfume, floral, chocolate, magnolia and gardenia, mint, melon, caramel, juicy and sweet, panela, white chocolate, cherry,, citric, compelling acids, green grape, tannic acid, , earl grey, buttery, tea like, jasmine, green tea, lingering afteraste,",89.55
"jasmine, honey, black tea, watermelon, golden delicious, strawberry, white grape, golden raisin, banana, sweet taffy, bergamot, mango and papaya., floral, malic, juicy, creamy, consistent, increased sweetness, and velvety finish , floral, apricot, and strong mouthfeel.",89.55
"Tropical fruit, apple, pineapple, blackberry, orange, yellow fruits, cherry, hard candy, maple, butterscotch, Complex, citric , Consistent, really sweet, smooth mouthfeel, black tea finish, delicate",89.54
"mango* peach* green grape,* fudge, caramel, chocolate, apple cranberry, juicy** crisp* tartaric* apple,* transparent, lively, tangy , silky* delicate* big round body, syrupy, harmonious",89.54
"spicy, orange, cocoa, violet, peach, green tea, pineapple, butterscotch, almond, melon, honey, coriander, lemon grass, citric, lime, blackcurrant, juicy, effervescent, complex, sparkling , silky body, long finish, refreshing buttery, well- structured",89.53
"raspberry, dark cherry, milk chocolate, black tea, brown sugar, jasmine, floral, nougat, passionfruit, caramel, tropical fruit, coconut, cedar,, lemon-lime, malic, juicy, tangerine, , rounded, darker fruits, fruit saturated,",89.53
"lackbeerry, blueberry, raspberry, mango, dark fruit, jammy, mandarin, fruit leather, pineapple, coffee candy, lime, uicy, malic, round, lime, clean and well balanced , creamy, full bodied, silky, clean finish",89.53
"Cinnamon, honey, melon, lemon tea, vanilla, honeycomb, nut, chocolate, brown sugar, pear, Bright, citric, juicy, tartaric , Syrupy",89.53
"whiskey, rum chocolate, dry wine, fennel, rose, plum, raisin, strawberry, brazil nut, lime, delicate, unique, tartaric, complex , omegranate, syrupy body, plum, buttery, creamy and balanced, bubble gum, viscous, stout, leather",89.5
"lemons chocolate, creamy, cinnamon pineapple, butterscotch, very balanced stone fruits, green apple acidity delicate , Very balanced, silky mouth feel",89.5
"jasmine, tea rose, cherry blossom, mandarin, anis, raspberry, red berries, vanilla, basil, nectarine ginger, spice, tropical fruits, mango, melon, very sweet, sugar cane, transparent, delicate, sweet citric acidity , refined, elegant, sweet and balanced, complex, creamy body",89.5
"Floral, Orange, Brown sugar, Caramel, Honey, Red apple, Sweet, Swiss chocolate, Citric, Complex, Malic, Red apple , Juicy, Long-lasting, Smooth, Well balanced, Creamy, Round, Caramel",89.5
"chocolate, sweet, syrupy, caramel, white wine, papaya, vanilla, lemon acidity, bright, complex , long after taste, creamy, sweet, good balance, clean, good mouthfeel",89.5
"Chocolate, honey, vanilla, caramel, chocolate, dried apricot, sarsaparilla, fresh honey, mandarin, peach, apple, almond, blackcurrant, Green apple acidity, good balance of sweetness/acidity , effervescent, juicy, velvety, elegant, multi-dimensional",89.5
"Chocolate, caramel, vanilla red berries, lemon, fig, molasses, port wine, nougat, caramel., Citric, sweet, bright, malic, plum. , Lush, velvety, body, soft, syrupy, mouthfeel, clean, black currant aftertaste, salted caramel, buttery, mango, papaya.",89.5
"Chocolate, black current, red wine, marmalade, mango, honey, cassias, cherry, Complex, lively, citric, delicate, juicy , Luscious, transparent, mouthwatering, floral finish, velvet mouthfeel",89.5
"AROMA: milk chocolate, grape, sweet vanilla, brown sugar, panela FLAVOR: honey, orange, grape juice, green tea peach, tangerine, citric, clarity, creamy , complex, well balanced, improved as cooled, creamy, lingering aftertaste",89.5
"Orange, lemon, cranberry, chocolate, sugar cane, guava, sugar cane, floral, apple blossom., Green apple, lime, white grape, lactic, sparkling, well balanced. , Creamy, silken, balanced, honey, amber honey.",89.47
"lime, honey, green apple, floral, lemon lime, grapefruit, lemon juice, melon, citric, malic, snappy , creamy, velvet, lush, consistent, nice mouthfeel, big body, long lasting",89.47
"Blackberry, lime, chocolate, caramel, chardonnay, apple, jasmine, pineple, peach, sugarcane juice, cinnamon, Citric and malic , Effervescent",89.47
"Apricot, candy-like, salted caramel, lemon candy, kiwi, papaya, yellow grapes, yellow peach, Citric, malic, bright , Buttery mouthfeel, smooth, silky, rich, syrupy",89.47
"Red berries, almond, scrumptious., Malic, tartaric, complex, bright. , Buttery mouth feel, smooth, very clean.",89.46
"Fresh green onion, sweet herbal, berries, wine-like, spicy, raisin, tangerine., Tartaric, structured. , Mandarin aftertaste, complex.",89.45
"Ripe tropical fruit, spice, tamarind, black tea, cardamom, lavender, ginger, maple syrup, Phosphoric, tartaric, delicate, complex, citric , Creamy, balanced",89.44
"jasmine* floral* vanilla* cherry* maple syrup, perfume, honey, dark chocolate, red grape, toffee, citric, apple , very clean, sweet",89.44
"chocolate, orange blossom, cranberry, red grape, black currant, limes, lemon zest, tea rose, peach, mango, caramel, red apple, tangerine, chocolate covered cherries, mint-chocolate, citrus zest, structured, crisp, punchy, malic, lactic acid , hints of tobacco, juicy aftertaste, heavy- round body, syrupy, effervescent",89.44
"butterscoth, strawberries, jasmine, red grape, lemon tea, lemongrass, honey, peach, caramel, brown sugar,, very clean, structured, mandarin, tangerine, , creamy, sweet finish, delicate, clove, candy-like, silky, umami,",89.44
"Peach, molasses, jasmine, floral, rose, ginger, sugar browning, lemon-grass, orange, cranberry, malt., citric, vibrant, crisp, bright. , smooth, clean and creamy, silky, round.",89.43
"Green grape, cranberry, nectarine, red apple, juicy, green apple, molasses, roasted hazelnuts, nutmeg sweet, blueberry brown spice, blueberry dense, structured, sweet, Sparkling acidity, malic, juicy, crisp, acetic , Cranberry, juicy, dates, nectarine, mango, long sweet aftertaste juicy. sugary, clean, fruity finish",89.43
"caramelized citrus, peach, toffee, chamomile, lemongrass, brown sugar, molasses, mango, jasmine, green grape, grape juice acidity, apple, green apple, fresh, lemon, juicy, malted, lime , buttery mouthfeel, rum, strengthened on the cool, structured",89.43
"blueberry and honey, chocolatey, vicious, blackberry, rose and plum, green apple, orange and watermelon, caramel, , citric, sweet, sparkling and lively, bright,  , spicy, tamarind, well rounded, clove, ",89.43
"black current black fruit floral, caramel, black cherry, white pear, complex fruit tartaric , Well balanced nice clean finish, Sweet soft lingering aftertaste Velvet mouthfeel,Clean",89.43
"apples, raspberry dark chocolate, grapes, cocoa, delicate, balanced, soft , dry , Creamy nice dry finish, pleasant finish",89.43
"Floral, molasses, cinnamon, dark chocolate, rose, black cherry, caramel, mango, green apple, mandarin, tea-like, jasmine, lemon, grape, Lactic and malic, layered , Full body, heavy, good body and flavor from beginning to end, lingering mouth feel",89.42
"floral, fruity, spicy tobacco cacao, lemon grass asian pear cirtic sweet spices cinnamon lemon, cherry, caramel citric, apple, molasses plum, juicy, bright malic , creamy, port wine, well balanced with structure",89.42
"Caramel, Dark chocolate, Floral, Fruit, Nutty, Red wine, Redcurrant, Sweet, Berries, Blueberry, Brown sugar, Caramel, Chocolate, Fig, Fruit, Grape fruit, Green apple, Honey, Mango, Melon, Orange, Peach, Plum, Raspberry, Red wine, Stone fruit, Sweet., Apple, Bright, Citric, Complex, Fruit, Grapes, Lively, Orange, Red apple, Refined, Tartaric. , Delicate, Juicy, Lingering, Long-lasting, Persistent, Well balanced, Clean, Creamy, Dense, Mouth-expanding, Round, Smooth, Structured.",89.42
"Boozy, blueberry, sugarcane juice, panella, mango, honey, lavander, sweet molasses, red wine, floral, tamarinde, fig, apricot, balanced, multiple fruit acids, complex, redwine, tangerine , bold and lively, candy like, syrupy, very sweet and persistent",89.42
"vanilla, grapefruit ,strawberry, cherry, floral, honey, peach, walnut, caramel, crème brule, balanced, structured, elegant, refined, jammy, fig pudding , super dense, heavy, lingering aftertaste, creamy body, silky, rounded, sweet complex",89.41
"peach, sugar cane, chocolate, toasted marshmellow, caramel, cardomom, earl grey, malt, jammy, citric, phosphoric, sparkling, blanced, effervscent, sweetcorn candy, improved on cool, great balance , star anise, papaya, recognized candy, very, very sweet, pear, amber honey,",89.41
"orange, honeycomb, brown sugar, black tea, lemon zest, chocolate, caramel, sweet cream, molasses, sugar cane, cacao, citric, malic, , crisp aftertaste, juicy, bright, clean, good balance,",89.41
"lychee, plum, white strawberry, grape, raspberry juice, sweet potato, jasmine, nectarine, juicy, transparent, refreshing, lively, tartaric, bright , silky, sugar cane, very clean",89.41
"honey, floral, peach, orange, cherry, vanilla, buterscotch, melon, lyche, grape and orange, red fruit and rose, Bright and complex, tartaric and quinic, intense , silky body, buttery and transparent, honey sweetness, butterscotch",89.41
"Brown sugar, cinnamon, clove, dark chocolate, molasses, lime juice, caramelized apple, strawberry, black tea, pear, anise, watermelon, Tartaric, phosphoric, lactic , Chocolate biscuit, full body, crisp",89.41
"Vanilla, honey, dried fruit, sweet peach, strawberry soda, dried cranberry, red apple,, Lively, silky, crisp, tartaric , Dense, viscous, thick mouth feel, long nice after taste, creamy",89.4
"Pineapple, cherry, lychee, blueberry, mandarin, apricot, brandy, floral, green apple, cassis, chocolate, hazelnut, orange, concord grape, raspberry jam, Citric, malic, phosphoric , Silky, well balanced",89.4
"Honey, floral, acai, blackberry, guava, floral, mango, peach, dark chocolate, Tartaric, malic, bright, complex , Big, clean, exotic, juicy, sugar cane, round",89.4
"Bergamot, Nectarine, Green Grape, Rhubarb, Red Currant, Honey, Lemon Tea, Candied Ginger, Black Fruit, Pineapple, Guava, Jasmine, Lemongrass, Floral, Lemon, Honey, Blackcurrants, Black Tea, Orange, Mango, Tartaric, Citric, Lemon, Tartaric, Citric, Malic, Bright, Complex , Floral, Syrupy, Super Sweet, Long Finish, Elegant, Very Sweet, Mellow, Elegant, Well Balanced, Brown Sugar, Round Mouth Feel, Long After Taste",89.4
"complex floral* chocolate* caramel, passion fruit, green gage plums, lemon white wine mossy floral, apricots, plums, elegant, malic, citric, transparent sparkling, zesty, sweet aftertaste , pleasant savory notes, silky",89.39
"Strawberry, guava, honey, coco, black cherry, honeysuckle flavor, red apple, mandarin, sweet choc, raisins, cola, apple cider, lime lemon bitters, super clean mouthfeel, thick, dense, rounded, syrupy, Malic, citric, lime grape, structured , Consistent complex coffee, rounded, structured malic citric acidity",89.38
"red grape, cranberry, hibiscus, bergamot, stone fruit, vibrant, crisp, clear, elegant , great balance, juicy, tamarind, sweet stone fruit",89.38
"honey, cherry, peach, eucalyptus, jasmine, mandarin, tangerine, green apple, preserved lemon, spicy, cinnamon, black tea, tamarind, lively, bright, crisp, citric, refined, complex , long aftertaste, persistent, creamy, transparent, well structured, complex",89.38
"cherry, dark chocolate, red wine, black cherry, honey, cranberry, dark fruit, plum, lactic, tartaric, grape-like, lime , lush, balanced, malty finish creamy",89.38
"Floral, pineapple, dark chocolate, almond, toffee, savory, tomato black currant, nutmeg, dulce de leche, orange marmalade., Tartaric, malic, delicate, sweet to the cool, transparent, well composed. , Key lime.",89.36
"plum, honey, cinnamon, purple flowers, blackberry, green apple, cherry, honey, orange malic, complex, , creamy mf, wine, refined, orange= tart",89.35
"Lemonade with mint, tangerine, cherry juice, lime, red currant, candied apple, fudge, red fruit, Citric acidity, crisp, tangy , Juicy, silky body",89.35
"Chocolate, butterscotch, caramel, cotton candy, peach, sugar cane, grapefruit, raspberry, lemongrass, Citric, round, tangy, white grapes , Very sweet, very juicy, well balanced",89.35
"cherry, chocolate, fruity, nuts, honey, apple, orange, tobacco, well-balanced, orange-citrus, snappy , velvety mouthfeel, buttery, soft",89.35
"elegant, caramel, apple, sweet citric, vanilla, strawberry, complex, consistent, bright , creamy, long finish, the coffee improves as cools, clean",89.34
"jasmine, hibiscus, apricot, apples, lemon grass, chocolate, strawberry coconut, grape, sharp and clean, tropical fruit, bright, crisp lively , Big coffee, soft, elegant, solid, rich, balanced",89.33
"floral, fragrant, orange, apricot, chocolate, grape fruit, bright, citric-fruits, tangerine and orange, soft, complex , creamy, dense, round, silky and smooth body, well structured, lingering, refined, smooth and delicate aftertaste, transparent, honey and sweet",89.33
